title,votes
Intro to Rust for Python Developers,87
Building CLI Tools with Click,34
What I Learned Mass-Migrating Off Python 2,52
LLMs in Production: War Stories,95
Home Lab 101,28
Async Python: Beyond the Basics,41
Why I Love SQLite,63
Contributing to Open Source,19
DevOps for Small Teams,37
Mechanical Keyboards: A Deep Dive,22
Writing Better Documentation,15
The Art of Code Review,31
Kubernetes: Do You Really Need It?,48
My Favorite Shell Scripts,12
GraphQL vs REST in 2026,39
Functional Programming Patterns in Python,27
Building a Second Brain,44
Vim vs Emacs: The Final Showdown,8
Making Games with Pygame,33
Data Pipelines with DuckDB,56
Cryptography for Developers,18
My NixOS Journey,0
Refactoring Legacy Code,29
Web Scraping Ethics and Techniques,24
Building Browser Extensions,16
Observability on a Budget,35
TDD: Beyond the Basics,21
Hardware Hacking 101,0
Postgres Performance Tuning,47
How I Automate My Life,38
The Death of REST,0
Event Sourcing Demystified,26
Prompt Engineering Workshop,71
