weight,title,start_dt,end_dt,theater,runtime_minutes
25,ANIMATED SHORTS,2025-10-18 19:30:00,2025-10-18 21:02:00,Film Society East,92
25,ANIMATED SHORTS,2025-10-26 15:15:00,2025-10-26 16:47:00,Film Society East,92
24,WHAT THE HELL HAPPENED?,2025-10-18 19:00:00,2025-10-18 20:31:00,Film Society Bourse,91
24,WHAT THE HELL HAPPENED?,2025-10-25 18:30:00,2025-10-25 20:01:00,Film Society East,91
23,WAKE UP DEAD MAN: A KNIVES OUT MYSTERY,2025-10-17 18:30:00,2025-10-17 20:54:00,Film Society Center,144
22,ALICE-HEART,2025-10-18 16:15:00,2025-10-18 17:48:00,Film Society Bourse,93
22,ALICE-HEART,2025-10-25 14:00:00,2025-10-25 15:33:00,Film Society East,93
21,BUTTHOLE SURFERS: THE HOLE TRUTH AND NOTHING BUTT,2025-10-18 21:30:00,2025-10-18 23:20:00,Film Society Bourse,110
21,BUTTHOLE SURFERS: THE HOLE TRUTH AND NOTHING BUTT,2025-10-21 20:45:00,2025-10-21 22:35:00,Film Society Bourse,110
20,JAY KELLY,2025-10-20 18:00:00,2025-10-20 20:12:00,Film Society Center,132
19,NO OTHER CHOICE,2025-10-19 14:45:00,2025-10-19 17:04:00,Film Society East,139
18,NIRVANNA THE BAND THE SHOW THE MOVIE,2025-10-25 18:00:00,2025-10-25 19:38:00,Film Society East,98
18,NIRVANNA THE BAND THE SHOW THE MOVIE,2025-10-26 17:30:00,2025-10-26 19:08:00,Film Society East,98
17,THE MASTERMIND,2025-10-18 13:45:00,2025-10-18 15:35:00,Film Society Center,110
17,THE MASTERMIND,2025-10-21 18:00:00,2025-10-21 19:50:00,Film Society East,110
16,LIVE ACTION SHORTS,2025-10-17 12:00:00,2025-10-17 13:39:00,Film Society Bourse,99
16,LIVE ACTION SHORTS,2025-10-26 17:00:00,2025-10-26 18:39:00,Film Society Bourse,99
15,FILMADELPHIA SHORTS,2025-10-20 20:15:00,2025-10-20 22:02:00,Film Society East,107
15,FILMADELPHIA SHORTS,2025-10-24 20:30:00,2025-10-24 22:17:00,Film Society East,107
14,IS THIS THING ON?,2025-10-26 16:15:00,2025-10-26 18:19:00,Film Society Center,124
13,H IS FOR HAWK,2025-10-19 14:45:00,2025-10-19 16:53:00,Film Society Bourse,128
12,RENTAL FAMILY,2025-10-19 18:00:00,2025-10-19 19:50:00,Film Society Center,110
11,NEVER GET BUSTED!,2025-10-17 18:45:00,2025-10-17 20:30:00,Film Society Bourse,105
11,NEVER GET BUSTED!,2025-10-19 14:30:00,2025-10-19 16:15:00,Film Society Bourse,105
10,HARD BOILED (PFF34),2025-10-25 22:15:00,2025-10-26 00:23:00,Film Society Center,128
9,THE PYTHON HUNT,2025-10-24 18:30:00,2025-10-24 20:01:00,Film Society Bourse,91
9,THE PYTHON HUNT,2025-10-26 13:45:00,2025-10-26 15:16:00,Film Society Bourse,91
8,REBUILDING,2025-10-25 20:00:00,2025-10-25 21:35:00,Film Society Center,95
7,TASK – (A Still Small Voice – Season 1 Finale),2025-10-19 15:30:00,2025-10-19 16:30:00,Film Society Center,60
6,DEAD MAN’S WIRE,2025-10-26 14:00:00,2025-10-26 15:45:00,Film Society Center,105
5,ALLEN IV3RSON,2025-10-21 20:30:00,2025-10-21 23:22:00,Film Society Center,172
4,COVER-UP,2025-10-20 18:00:00,2025-10-20 19:57:00,Film Society Bourse,117
4,COVER-UP,2025-10-21 18:15:00,2025-10-21 20:12:00,Film Society Bourse,117
3,MULHOLLAND DRIVE,2025-10-25 14:45:00,2025-10-25 17:12:00,Film Society Center,147
2,THREE DAYS OF THE CONDOR,2025-10-23 18:00:00,2025-10-23 19:57:00,Film Society Center,117
1,THE MAKINGS OF CURTIS MAYFIELD,2025-10-24 16:15:00,2025-10-24 17:52:00,Film Society Bourse,97
1,THE MAKINGS OF CURTIS MAYFIELD,2025-10-25 11:30:00,2025-10-25 13:07:00,Film Society East,97
