title,start_dt,end_dt,theater,runtime_minutes
ALICE-HEART,2025-10-18 16:15:00,2025-10-18 17:48:00,Film Society Bourse,93
ALICE-HEART,2025-10-25 14:00:00,2025-10-25 15:33:00,Film Society East,93
ANIMATED SHORTS,2025-10-18 19:30:00,2025-10-18 21:02:00,Film Society East,92
ANIMATED SHORTS,2025-10-26 15:15:00,2025-10-26 16:47:00,Film Society East,92
BUTTHOLE SURFERS: THE HOLE TRUTH AND NOTHING BUTT,2025-10-18 21:30:00,2025-10-18 23:20:00,Film Society Bourse,110
BUTTHOLE SURFERS: THE HOLE TRUTH AND NOTHING BUTT,2025-10-21 20:45:00,2025-10-21 22:35:00,Film Society Bourse,110
FILMADELPHIA SHORTS,2025-10-20 20:15:00,2025-10-20 22:02:00,Film Society East,107
FILMADELPHIA SHORTS,2025-10-24 20:30:00,2025-10-24 22:17:00,Film Society East,107
H IS FOR HAWK,2025-10-19 14:45:00,2025-10-19 16:53:00,Film Society Bourse,128
LIVE ACTION SHORTS,2025-10-17 12:00:00,2025-10-17 13:39:00,Film Society Bourse,99
LIVE ACTION SHORTS,2025-10-26 17:00:00,2025-10-26 18:39:00,Film Society Bourse,99
NEVER GET BUSTED!,2025-10-17 18:45:00,2025-10-17 20:30:00,Film Society Bourse,105
NEVER GET BUSTED!,2025-10-19 14:30:00,2025-10-19 16:15:00,Film Society Bourse,105
THE PYTHON HUNT,2025-10-24 18:30:00,2025-10-24 20:01:00,Film Society Bourse,91
THE PYTHON HUNT,2025-10-26 13:45:00,2025-10-26 15:16:00,Film Society Bourse,91
WHAT THE HELL HAPPENED?,2025-10-18 19:00:00,2025-10-18 20:31:00,Film Society Bourse,91
WHAT THE HELL HAPPENED?,2025-10-26 18:30:00,2025-10-26 20:01:00,Film Society East,91
